236,21
225,43
219,62
211,70
196,74
180,73
179,93
183,103
180,115
166,125
156,125
137,120
131,113
124,129
114,147
100,146
94,129
81,143
72,132
58,129
62,146
56,156
55,169
71,183
63,191
65,206
53,218
38,213
24,198
5,202
16,212
35,206
37,225
46,240
58,255
47,261
31,264
28,270
43,273
62,289
35,294
58,306
57,320
63,322
71,332
82,340
94,351
103,361
80,358
67,361
57,348
51,358
36,353
26,342
23,357
19,369
275,363
283,360
300,359
304,344
319,340
312,325
336,315
344,316
327,309
325,290
350,284
360,260
382,268
372,261
350,264
336,264
329,252
332,236
329,227
351,225
354,210
355,201
361,181
375,161
376,158
359,172
347,189
328,184
321,182
305,182
299,166
304,143
289,151
275,141
262,135
255,124
268,111
259,105
266,89
256,85
241,73
238,66
239,47
237,21
